Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
273657864,-1940,0302,-0234,0013,0010,0002,092.6871,007.1236,008.7163
273663511,-1947,0319,-0228,0020,0006,0006,090.8000,006.7599,008.8579
273669091,-1924,0329,-0263,0018,-0001,0010,088.5882,006.5664,009.3461
273674713,-1944,0315,-0232,0022,-0004,0010,092.0238,007.7488,009.7307
273680361,-1965,0320,-0254,0026,-0002,0014,089.3129,006.6095,009.1540
273686063,-1983,0298,-0244,0022,0011,0018,091.9222,007.3570,009.2652
273691816,-1977,0310,-0254,0023,0019,0013,092.5698,006.8788,008.4496
273697605,-1982,0306,-0242,0009,0024,0010,092.5081,007.2861,008.9811
273703234,-2001,0299,-0239,0000,0023,0006,091.4411,006.8332,008.7524
273708703,-2000,0311,-0257,0008,0019,0002,091.8863,006.7275,008.4772
273714282,-1989,0313,-0238,0019,0009,0006,092.8369,007.2787,008.8708
273719879,-1984,0320,-0246,0034,-0005,0010,090.2081,006.6758,008.9491
273725493,-1986,0317,-0263,0031,-0012,0013,090.7968,006.9988,009.1857
273731237,-1976,0327,-0257,0017,-0015,0017,093.0808,007.4947,009.0555
273736946,-1952,0337,-0233,0002,-0018,0021,091.0967,007.2702,009.4457
273742636,-1945,0336,-0226,0007,-0017,0023,087.4860,006.6193,009.8450
273748300,-1955,0329,-0265,0008,-0017,0020,087.1598,006.5054,009.8000
273753952,-1961,0325,-0249,0015,-0010,0017,092.6570,007.7467,009.5222
273759643,-1967,0320,-0257,0017,0001,0019,090.4120,007.0493,009.3983
273765300,-1991,0324,-0261,0014,0014,0012,092.1998,007.3817,009.2207
273771027,-1985,0320,-0244,0017,0012,-0002,092.0864,007.3662,009.2404
273776696,-1978,0333,-0250,0015,0005,-0006,090.4187,006.8589,009.1414
273782261,-1983,0332,-0241,0030,-0005,-0013,090.1553,007.1191,009.5888
273787926,-1967,0339,-0266,0038,-0007,-0009,089.1632,006.7907,009.4855
273793574,-1959,0327,-0242,0037,-0011,-0009,091.6195,007.6782,009.8061
273799281,-1939,0326,-0265,0030,-0011,-0005,089.4982,006.8331,009.4241
273804952,-1941,0329,-0283,0022,-0004,0003,092.6143,007.7575,009.5534
273810594,-1935,0329,-0250,0011,0005,0014,094.0151,008.2193,009.6292
273816275,-1956,0316,-0290,0011,0012,0021,090.1265,007.1598,009.6558
273822002,-1973,0324,-0295,0013,0015,0028,096.4654,008.4932,009.1141
273827746,-1982,0313,-0256,0030,0012,0032,095.3148,008.3753,009.3624
273833449,-2003,0304,-0249,0038,0009,0028,092.0854,007.1300,008.9324
