Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
462231120,-1188,0130,-1602,0022,0005,0010,089.3465,051.8352,006.1151
462236854,-1202,0126,-1583,0027,0004,0014,089.4497,053.5024,006.2662
462242611,-1190,0113,-1576,0026,-0003,0014,089.4946,052.5202,005.9487
462248350,-1199,0124,-1581,0028,-0017,0013,089.7913,052.8403,005.3623
462254148,-1211,0118,-1567,0030,-0013,0013,089.4925,052.6419,005.9752
462259948,-1217,0130,-1583,0030,-0011,0012,089.6556,052.0999,005.5104
462265731,-1219,0104,-1600,0029,-0012,0018,089.3557,052.3074,006.1898
462271540,-1243,0107,-1605,0027,-0012,0022,090.0832,052.6283,004.6720
462277361,-1237,0098,-1600,0026,-0013,0023,089.8977,052.0607,004.9570
462283169,-1250,0090,-1587,0024,-0011,0026,090.1334,052.2137,004.4716
462288922,-1277,0101,-1590,0021,-0004,0026,090.2716,051.6254,004.0793
462294686,-1260,0086,-1588,0018,-0003,0025,089.9734,051.0749,004.5840
462300391,-1260,0088,-1575,0018,0002,0023,090.3827,051.5527,003.8242
462306140,-1264,0081,-1571,0013,0003,0028,090.2517,051.2272,004.0303
462311856,-1253,0086,-1583,0014,0001,0023,090.4402,051.1017,003.6285
462317588,-1242,0093,-1592,0008,0000,0018,090.2997,051.6289,003.9790
462323172,-1237,0102,-1585,0006,0002,0012,090.1601,051.9915,004.3245
462328837,-1227,0092,-1606,0003,0005,0005,089.9465,051.9225,004.7705
462334445,-1225,0112,-1600,-0003,0004,-0012,090.2617,052.6064,004.2364
462340143,-1219,0131,-1615,-0005,0006,-0022,089.7465,052.4191,005.3512
462345842,-1206,0131,-1617,-0005,0006,-0031,089.4050,052.8377,006.2330
462351526,-1218,0131,-1603,-0011,0005,-0042,089.4826,053.1514,006.1923
462357306,-1202,0148,-1541,-0009,0005,-0055,089.4829,052.5303,006.1224
462362954,-1219,0145,-1593,-0007,0005,-0061,088.9967,051.7901,007.0565
462368637,-1216,0148,-1600,-0009,0006,-0065,089.2626,052.4553,006.7321
462374295,-1225,0148,-1592,-0008,0006,-0064,089.2099,052.5686,006.9519
462379988,-1229,0153,-1587,-0004,0007,-0061,089.2367,052.1718,006.8670
462385668,-1213,0122,-1586,-0004,0005,-0055,089.1332,052.0069,007.1134
462391356,-1211,0140,-1600,0002,0011,-0047,089.9475,052.5087,005.5355
462397107,-1214,0131,-1576,0002,0011,-0035,089.4376,052.7179,006.7430
462402873,-1211,0123,-1608,0003,0007,-0016,089.6989,052.1599,006.0802
462408545,-1208,0123,-1585,0004,0007,-0003,089.9314,052.9637,005.7667
462414142,-1205,0139,-1601,0007,0010,0013,089.8612,052.4947,005.8286
462419854,-1218,0140,-1593,0002,0007,0027,089.5050,052.8949,006.7055
462425535,-1195,0146,-1599,0002,0011,0037,089.5109,052.3530,006.5602
462431315,-1218,0138,-1589,-0001,0007,0045,089.3695,053.1268,007.0602
462436961,-1224,0155,-1564,-0004,0005,0050,089.5572,052.2552,006.4249
462442645,-1230,0169,-1578,-0006,0005,0049,089.0541,051.6623,007.3391
462448322,-1212,0168,-1583,-0003,0006,0042,088.8036,051.8166,007.9136
462453988,-1201,0157,-1575,-0004,0010,0036,088.8818,052.3587,007.9132
462459741,-1193,0172,-1573,-0001,0006,0026,089.1313,052.4424,007.4067
462465409,-1213,0174,-1563,0000,0001,0022,088.7438,052.5395,008.3034
462470976,-1219,0154,-1542,0005,0000,0014,088.7234,051.8413,008.1616
462476565,-1199,0145,-1571,0009,-0001,0006,089.1663,051.4170,007.1419
462482179,-1201,0148,-1557,0013,-0008,0002,089.4368,052.5422,006.8709
462487900,-1220,0141,-1575,0019,-0008,0004,089.3137,052.0984,007.0382
462493603,-1213,0151,-1594,0025,-0009,0006,089.5493,052.0371,006.5292
462499288,-1193,0129,-1553,0030,-0012,0007,089.3160,052.5708,007.1689
462504994,-1191,0136,-1579,0038,-0017,0012,089.7781,052.2743,006.0892
462510803,-1211,0126,-1569,0038,-0022,0016,089.6152,052.8504,006.5664
462516617,-1221,0127,-1587,0044,-0020,0016,089.8596,052.0870,005.8497
462522415,-1224,0122,-1614,0046,-0016,0017,089.8288,052.2938,005.9420
462528232,-1219,0159,-1539,0048,-0015,0020,089.9987,052.7344,005.6440
462534007,-1240,0167,-1599,0052,-0018,0017,088.9118,051.2471,007.5732
462539798,-1219,0182,-1587,0051,-0014,0016,088.9672,052.0504,007.6719
462545603,-1214,0182,-1591,0051,-0008,0012,088.5500,052.1743,008.6064
462551335,-1221,0183,-1599,0046,-0002,0005,088.6303,052.3649,008.5005
462557043,-1228,0183,-1611,0048,0005,-0001,088.6254,052.3181,008.5100
462562726,-1213,0163,-1592,0050,0001,0001,088.6642,052.3810,008.4546
462568357,-1224,0158,-1602,0053,0003,0001,089.0947,052.4505,007.5369
462574038,-1242,0139,-1591,0058,0000,0004,089.1867,052.3766,007.3128
462579624,-1225,0125,-1587,0063,0000,0016,089.5966,051.7921,006.2784
462585247,-1241,0109,-1586,0067,0001,0029,089.8746,052.2359,005.7551
462591034,-1229,0095,-1616,0069,0000,0039,090.2171,051.7895,004.9034
462596634,-1206,0086,-1588,0067,0003,0053,090.5213,052.7552,004.3603
462602365,-1233,0093,-1613,0066,0004,0062,090.6339,052.7049,004.0382
462608103,-1224,0109,-1630,0064,0003,0071,090.4412,052.4989,004.3510
462613846,-1234,0099,-1591,0058,0001,0075,090.0684,053.0443,005.1931
462619576,-1221,0104,-1591,0053,0003,0077,090.2624,051.9900,004.5228
