Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
209435016,-1346,0159,-1489,-0020,0009,-0051,091.1997,047.7764,007.0216
209440760,-1335,0169,-1475,-0018,0013,-0043,091.3987,047.6737,006.6932
209446591,-1314,0175,-1489,-0016,0014,-0035,091.0436,047.6139,007.2964
209452377,-1319,0190,-1479,-0013,0012,-0025,090.9852,048.4272,007.6325
209458149,-1319,0208,-1490,-0005,0010,-0017,090.5414,047.9154,008.2725
209463869,-1306,0224,-1484,0003,0015,-0011,090.1365,048.1631,009.0628
209469609,-1290,0221,-1488,0004,0013,-0001,089.7265,048.2443,009.8239
209475311,-1293,0219,-1472,0004,0008,0003,089.8853,048.7087,009.7144
209480916,-1284,0232,-1504,0008,0000,0005,089.8638,048.2657,009.6092
209486457,-1296,0257,-1499,0007,0000,0004,089.6515,049.1291,010.3108
209492108,-1287,0241,-1482,0009,-0002,0003,088.9840,048.5335,011.3271
209497797,-1298,0246,-1483,0009,-0004,0005,089.4265,048.5294,010.5370
209503486,-1296,0236,-1508,0015,-0001,0001,089.2604,048.2709,010.7515
209509180,-1318,0221,-1487,0021,-0002,-0001,089.6784,048.9376,010.2524
209514938,-1345,0228,-1492,0029,-0009,0001,089.9519,047.9190,009.4100
209520620,-1352,0201,-1494,0033,-0015,0000,089.7384,047.5070,009.6355
209526230,-1372,0211,-1524,0036,-0017,0006,090.5182,047.5350,008.3202
209531990,-1365,0202,-1493,0039,-0016,0007,090.2618,047.6743,008.7815
209537753,-1366,0175,-1502,0039,-0004,0013,090.4155,047.1935,008.3644
209543484,-1361,0169,-1481,0038,0002,0018,091.1837,047.5127,007.1608
209549254,-1375,0195,-1491,0031,0006,0026,091.1691,047.1510,007.0688
209554991,-1364,0185,-1502,0030,0010,0025,090.4401,047.0151,008.1983
209560735,-1352,0164,-1460,0027,0015,0032,090.8419,047.5587,007.6674
209566554,-1328,0172,-1499,0024,0018,0035,091.2471,046.9046,006.8135
209572351,-1330,0185,-1456,0024,0021,0033,091.0620,048.4489,007.4871
209578162,-1338,0186,-1483,0023,0021,0032,090.5566,047.1849,007.9766
209584009,-1319,0200,-1475,0025,0021,0031,090.6805,047.7538,007.9108
209589757,-1300,0192,-1472,0022,0025,0024,090.2199,047.8897,008.7225
209595540,-1324,0189,-1469,0020,0023,0022,090.4871,048.2856,008.3706
209601314,-1294,0214,-1486,0019,0017,0018,090.5259,047.6083,008.0981
209607140,-1274,0207,-1459,0016,0017,0016,089.8653,048.7049,009.5879
209613008,-1327,0211,-1470,0019,0014,0011,090.0402,048.4838,009.2014
209618807,-1291,0205,-1504,0017,0010,0010,089.9551,047.4440,009.0145
209624548,-1302,0194,-1508,0021,0012,0008,090.2758,049.2412,009.0234
209630309,-1319,0182,-1480,0023,0005,0010,090.5464,048.8230,008.3938
209636071,-1296,0201,-1471,0023,0000,0004,090.7420,047.9143,007.7852
209641649,-1318,0184,-1490,0025,0003,0006,090.1676,048.3008,008.8862
209647320,-1315,0184,-1516,0026,0000,0007,090.7587,048.2139,007.8226
209652918,-1313,0208,-1518,0023,-0005,0007,090.7646,048.8438,007.9792
209658605,-1303,0201,-1504,0020,-0005,0014,090.1067,048.7732,009.1325
209664289,-1318,0192,-1491,0021,-0011,0016,090.3266,048.7487,008.7208
209670124,-1314,0217,-1490,0029,-0009,0020,090.4970,048.1314,008.2195
209675870,-1333,0220,-1504,0034,-0003,0022,089.7410,048.2115,009.5474
209681599,-1343,0207,-1478,0035,-0001,0023,089.8160,048.0409,009.3470
209687310,-1327,0218,-1522,0041,-0004,0025,090.0595,047.3142,008.6836
209693056,-1351,0223,-1467,0044,-0002,0025,089.8805,048.7072,009.4203
209698769,-1348,0218,-1474,0044,0001,0030,089.5242,046.7612,009.3649
209704510,-1325,0231,-1502,0046,0004,0031,089.7357,047.2466,009.1573
209710259,-1316,0220,-1462,0047,0011,0033,089.4399,048.2925,010.0006
209716126,-1312,0221,-1465,0048,0009,0037,089.6072,047.5258,009.4246
209721847,-1310,0222,-1483,0049,0007,0042,089.5527,047.7775,009.5773
209727630,-1292,0226,-1503,0049,0005,0050,089.5873,048.1909,009.6278
209733344,-1293,0212,-1500,0053,-0001,0055,089.5321,048.9833,009.9674
209739044,-1294,0212,-1500,0056,-0004,0060,089.8840,048.8406,009.2334
209744724,-1317,0211,-1494,0062,-0009,0070,089.8079,048.8328,009.3171
209750434,-1301,0201,-1487,0068,-0014,0076,089.7860,048.1538,009.0775
209756207,-1288,0196,-1505,0074,-0017,0083,090.0020,048.5145,008.7467
209762040,-1304,0191,-1494,0075,-0021,0090,090.1357,049.2003,008.6432
209767797,-1302,0190,-1497,0075,-0024,0090,090.1676,048.4887,008.2982
209773534,-1316,0197,-1505,0070,-0026,0097,090.1519,048.6983,008.3136
209779313,-1316,0193,-1463,0065,-0024,0096,089.9387,048.4768,008.5557
209785072,-1325,0200,-1469,0061,-0027,0095,089.8826,047.6304,008.3352
