Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
347916116,-1640,0939,-0689,-0042,0009,-0024,091.1396,021.0558,029.9894
347921898,-1653,0949,-0677,-0037,0013,-0023,089.9132,019.8766,029.7606
347927745,-1637,0970,-0653,-0039,0005,-0022,089.3938,019.4900,029.8695
347933560,-1650,0979,-0649,-0035,-0004,-0024,088.0333,018.8364,030.7630
347939316,-1641,0987,-0663,-0030,-0005,-0026,087.9016,018.6526,030.6613
347945080,-1653,0989,-0684,-0017,-0006,-0029,088.2792,019.1460,031.0649
347950853,-1636,1009,-0657,-0009,-0008,-0032,088.9662,019.5884,030.8552
347956592,-1644,1012,-0670,-0006,-0019,-0031,087.4339,018.7604,031.7535
347962391,-1639,1009,-0639,-0006,-0027,-0029,088.0517,019.1714,031.5813
347968187,-1655,1020,-0660,-0003,-0040,-0027,086.9153,018.2324,031.6062
347973952,-1632,1011,-0646,-0002,-0039,-0024,087.5997,018.7937,031.6365
347979735,-1631,1016,-0666,0005,-0037,-0023,087.2327,018.5496,031.7824
347985551,-1657,1016,-0696,0012,-0038,-0012,087.9144,019.1801,031.9290
347991365,-1637,1029,-0698,0020,-0036,-0005,088.8781,019.7489,031.4541
347997169,-1662,1017,-0675,0028,-0039,0008,088.5168,019.8463,032.2402
348002967,-1657,1036,-0700,0040,-0045,0019,088.0387,019.0101,031.3749
348008716,-1657,1026,-0720,0050,-0046,0035,088.5014,019.7719,032.0892
348014545,-1645,1009,-0719,0053,-0044,0042,089.3375,020.3232,031.7316
348020424,-1640,0994,-0710,0052,-0036,0051,089.5918,020.4399,031.5041
348026284,-1639,0981,-0719,0039,-0026,0048,089.5986,020.2896,031.1899
348032136,-1638,0939,-0722,0030,-0016,0054,090.2293,020.6686,030.8744
348037949,-1620,0916,-0736,0019,-0009,0049,091.3456,020.9567,029.6866
348043770,-1607,0912,-0740,0017,0003,0047,092.3285,021.6785,029.4660
348049570,-1583,0897,-0714,0020,0009,0048,092.4084,021.8467,029.6066
348055321,-1613,0880,-0766,0021,0016,0042,091.9212,021.3989,029.5460
348061268,-1618,0868,-0754,0024,0022,0031,094.3518,022.8527,028.4582
348067156,-1607,0875,-0751,0017,0026,0021,093.8600,022.2543,028.1824
348072998,-1584,0871,-0759,0022,0019,0011,093.6016,022.3269,028.6198
348078876,-1583,0890,-0757,0013,0025,0000,094.0131,022.8310,028.8238
348084534,-1587,0899,-0781,0007,0021,-0010,093.3625,022.6142,029.3815
348090300,-1570,0924,-0712,0004,0013,-0015,093.9505,023.2532,029.5425
348096076,-1577,0944,-0731,0001,0011,-0022,090.9722,021.2061,030.5354
348101845,-1589,0951,-0716,0002,0007,-0022,091.3267,021.7432,030.9394
348107551,-1612,0963,-0732,0002,0004,-0025,090.5996,021.0653,030.8838
348113261,-1649,0982,-0741,-0002,0004,-0025,090.9324,021.3219,030.8383
348118985,-1646,0990,-0726,-0003,0012,-0024,090.7234,021.0840,030.7570
348124734,-1663,1012,-0735,-0003,0013,-0025,090.0579,020.6568,031.0455
348130514,-1654,1029,-0734,0003,0016,-0021,089.9176,020.6855,031.3420
348136301,-1682,1020,-0714,0005,0020,-0014,089.5145,020.6420,031.9398
348142061,-1685,1026,-0712,0007,0028,-0012,089.1369,019.8937,031.1687
348147867,-1685,1004,-0733,0011,0028,-0004,088.9801,019.8436,031.3509
348153674,-1687,1035,-0738,0011,0032,0005,090.2287,020.5622,030.7315
348159496,-1681,1023,-0727,0012,0038,0012,089.5490,020.4458,031.6108
348165317,-1679,1023,-0742,0012,0049,0022,089.5497,020.2709,031.3038
348171167,-1652,1010,-0744,0019,0047,0028,090.0522,020.7323,031.3694
348177005,-1634,1001,-0737,0022,0044,0028,090.3829,021.0662,031.4595
348182846,-1619,0977,-0729,0024,0044,0027,090.3345,021.0456,031.5055
348188669,-1606,0962,-0696,0024,0041,0021,090.6808,021.0994,031.0577
348194486,-1617,0953,-0727,0022,0040,0009,089.8560,020.2970,030.9028
348200233,-1595,0948,-0747,0025,0036,0004,091.3281,021.3104,030.4553
348206006,-1582,0941,-0735,0030,0039,-0001,091.9511,022.0419,030.7657
348211754,-1578,0956,-0721,0031,0040,-0003,091.6362,021.7475,030.7382
348217508,-1575,0942,-0720,0041,0039,-0002,090.8048,021.3113,031.2591
348223294,-1567,0941,-0700,0048,0042,0003,091.2256,021.4497,030.8394
348229017,-1587,0948,-0726,0051,0036,0007,090.5324,020.9354,030.9922
348234811,-1596,0966,-0695,0054,0034,0012,091.3027,021.5265,030.8308
348240663,-1617,0977,-0731,0052,0026,0020,089.5994,020.2812,031.2385
348246469,-1608,0992,-0678,0054,0019,0026,090.8271,021.2953,031.1283
348252349,-1616,0987,-0682,0047,0016,0030,088.3338,019.4922,031.7645
348258216,-1624,1008,-0678,0051,0014,0030,089.0187,019.8665,031.3619
348264030,-1629,1000,-0716,0046,0011,0032,088.2392,019.4855,031.9017
348269856,-1634,1006,-0712,0047,0008,0032,089.8835,020.6921,031.4979
348275667,-1625,1002,-0716,0050,0005,0035,089.3534,020.3174,031.6411
348281408,-1641,1015,-0720,0059,0006,0032,089.6485,020.5954,031.6644
348287216,-1627,0973,-0720,0058,0009,0030,089.4229,020.4535,031.7501
348292994,-1613,0967,-0712,0057,0012,0028,090.4872,020.8507,030.7656
348298812,-1604,0976,-0699,0056,0015,0026,090.1983,020.7271,030.9729
348304626,-1597,0960,-0704,0056,0023,0026,089.5329,020.3813,031.3782
348310480,-1592,0971,-0717,0054,0027,0028,090.2294,020.7595,030.9578
348316342,-1594,0956,-0690,0053,0033,0022,090.2917,021.0940,031.4562
348322197,-1621,0944,-0725,0061,0030,0024,089.7068,020.2853,030.8892
348327929,-1606,0951,-0723,0065,0026,0019,091.3429,021.2650,030.1174
348333763,-1618,0948,-0727,0065,0018,0021,090.8185,021.1713,030.7181
348339598,-1614,0959,-0686,0063,0009,0024,091.1031,021.2015,030.3104
348345370,-1618,0951,-0680,0063,-0001,0020,089.2657,019.9104,030.7749
348351087,-1616,0966,-0710,0065,-0004,0017,089.5108,019.9209,030.3971
348356837,-1617,0968,-0712,0062,-0012,0018,090.1530,020.7755,030.9381
348362669,-1607,0962,-0745,0060,-0012,0021,090.0557,020.6844,030.8988
348368482,-1617,0972,-0714,0057,-0011,0018,091.3695,021.8541,030.9035
348374358,-1627,0963,-0729,0042,-0014,0017,089.7859,020.5485,031.0254
348380199,-1621,0956,-0692,0036,-0008,0017,090.7933,021.1651,030.5575
348385986,-1610,0956,-0711,0024,-0005,0012,089.4932,020.0409,030.5255
348391742,-1607,0970,-0687,0020,0002,0016,090.3792,020.9073,030.7308
348397474,-1584,0937,-0719,0014,0005,0015,089.0229,019.9851,031.1719
348403251,-1605,0968,-0708,0011,0011,0011,091.1906,021.4995,030.5395
348409172,-1608,0956,-0723,0007,0008,0007,089.6723,020.5444,031.1945
348414845,-1609,0972,-0689,0005,0011,0004,090.7774,021.2052,030.6709
