Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
318231718,-1785,-0320,-0877,-0010,0004,0017,093.9237,025.1019,-011.1477
318237529,-1767,-0311,-0874,-0010,0002,0016,091.4651,025.9206,-009.9983
318243245,-1797,-0314,-0873,-0009,0002,0012,091.3872,025.9804,-009.9722
318248932,-1786,-0322,-0855,-0005,0006,0012,091.5982,025.5269,-009.8976
318254627,-1773,-0319,-0886,-0004,0005,0014,092.4381,025.1879,-010.2559
318260345,-1785,-0295,-0871,0000,0011,0012,091.4790,026.3411,-010.1856
318266034,-1791,-0305,-0875,0003,0013,0005,090.5299,025.6317,-009.2818
318271648,-1795,-0286,-0871,0003,0016,-0003,091.1655,025.7315,-009.7096
318277331,-1778,-0289,-0864,0004,0015,-0009,090.0622,025.5922,-008.9744
318282994,-1771,-0281,-0885,0004,0012,-0015,090.5371,025.6324,-009.2715
318288702,-1759,-0300,-0859,0001,0010,-0017,089.5958,026.3646,-008.9841
318294375,-1763,-0288,-0865,0000,0013,-0019,091.3375,025.6459,-009.7528
318300002,-1754,-0291,-0844,-0004,0009,-0022,090.3605,025.8596,-009.2369
318305677,-1773,-0301,-0868,-0007,0007,-0015,091.0516,025.3596,-009.4378
318311311,-1761,-0312,-0843,-0009,0008,-0018,091.1106,025.8187,-009.6645
318317008,-1759,-0313,-0851,-0013,-0003,-0016,092.2766,025.1803,-010.0865
318322759,-1761,-0327,-0882,-0012,-0005,-0015,092.0557,025.5012,-010.0926
318328523,-1760,-0310,-0869,-0009,-0010,-0016,092.2459,026.3239,-010.5890
318334284,-1750,-0294,-0880,-0007,-0012,-0017,091.5227,025.8782,-009.9184
318339960,-1765,-0309,-0877,-0006,-0006,-0013,090.4879,026.4275,-009.4985
318345629,-1771,-0289,-0890,-0003,-0003,-0013,091.5416,026.0345,-009.9863
318351298,-1766,-0288,-0901,0003,-0005,-0008,089.9935,026.4239,-009.1742
318356887,-1778,-0285,-0876,0002,-0004,-0007,089.9472,026.7610,-009.2743
318362513,-1786,-0275,-0894,0001,-0001,-0007,090.2586,025.8456,-009.0888
318368100,-1778,-0269,-0887,0004,0009,0000,089.3157,026.3788,-008.7154
318373598,-1795,-0267,-0883,0000,0007,0000,089.2101,026.2456,-008.5913
318378996,-1801,-0279,-0903,0006,0010,0002,089.1877,025.9287,-008.4511
318384611,-1798,-0285,-0877,0013,0009,0005,089.5376,026.4056,-008.8436
318390305,-1785,-0258,-0893,0018,0010,0010,090.3348,025.6417,-009.0251
318396052,-1799,-0269,-0880,0023,0003,0012,088.3168,026.4430,-008.1046
318401752,-1774,-0263,-0866,0013,0008,0014,089.4907,025.7412,-008.5492
318407480,-1764,-0292,-0884,0017,0004,0015,089.2441,025.7794,-008.4136
318413190,-1762,-0299,-0870,0015,0007,0010,090.6823,026.3827,-009.5352
318418889,-1728,-0272,-0882,0019,0010,0012,091.1702,025.9097,-009.6399
318424645,-1746,-0279,-0873,0020,0007,0016,089.3559,026.8320,-008.8809
318430351,-1736,-0291,-0892,0027,0007,0021,090.0731,026.2280,-009.0921
318436084,-1740,-0289,-0892,0030,0009,0022,090.3394,026.9443,-009.5577
318441848,-1746,-0279,-0877,0033,0000,0020,090.1959,026.8106,-009.4132
318447430,-1747,-0277,-0853,0034,-0001,0022,089.9170,026.3488,-009.0524
318453161,-1758,-0291,-0878,0034,-0001,0019,090.2636,025.6939,-009.0039
318458913,-1758,-0295,-0884,0036,0004,0018,090.5755,026.3005,-009.4502
318464651,-1767,-0302,-0890,0037,0005,0015,090.6466,026.3864,-009.5356
318470383,-1757,-0293,-0893,0032,0007,0015,090.9206,026.4061,-009.7217
318476115,-1771,-0279,-0889,0031,-0001,0009,090.3014,026.6527,-009.4343
318481844,-1775,-0293,-0906,0028,0000,0011,089.6310,026.3333,-008.8844
318487470,-1769,-0302,-0874,0021,-0003,0013,090.2167,026.7754,-009.4304
318493204,-1757,-0322,-0883,0025,-0002,0019,091.2883,025.8561,-009.7180
318498920,-1746,-0318,-0881,0023,0003,0014,092.1138,026.3644,-010.4741
318504721,-1765,-0338,-0878,0027,0005,0018,091.8052,026.4048,-010.2996
