Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
154659613,-1838,0220,-0763,0008,0014,0013,088.6672,022.1715,007.1130
154665361,-1815,0232,-0749,0007,0021,0011,089.5390,022.4406,006.7844
154671105,-1814,0234,-0769,0010,0025,0011,088.2758,022.2489,007.3404
154676872,-1840,0225,-0766,0009,0026,0011,088.7212,022.8842,007.3536
154682584,-1827,0234,-0757,0012,0025,0012,089.2515,022.4008,006.9219
154688314,-1837,0223,-0744,0012,0026,0015,088.3437,022.3418,007.3511
154694098,-1837,0229,-0764,0013,0022,0019,088.9872,021.8463,006.8645
154699896,-1840,0222,-0767,0017,0020,0014,088.9016,022.5265,007.1470
154705644,-1845,0228,-0754,0016,0017,0015,089.4888,022.4801,006.8427
154711422,-1840,0239,-0764,0014,0012,0019,088.6783,022.0189,007.0786
154717180,-1844,0221,-0802,0012,0008,0018,088.2294,022.4351,007.4535
154722889,-1844,0216,-0775,0005,0004,0021,090.3284,023.4793,006.7564
154728552,-1832,0219,-0777,0003,0006,0019,089.8896,022.5587,006.6775
154734203,-1840,0222,-0797,0005,0012,0019,089.7780,022.8761,006.8405
154739935,-1832,0220,-0759,0001,0016,0017,089.9831,023.3279,006.8905
154745644,-1827,0224,-0761,0003,0019,0016,089.3424,022.2424,006.8469
154751375,-1846,0240,-0754,-0002,0019,0017,089.1872,022.4957,007.0149
154757144,-1832,0214,-0750,0003,0021,0012,087.9019,021.9901,007.4677
154762816,-1845,0238,-0746,0005,0019,0012,089.8835,022.1486,006.5695
154768524,-1842,0221,-0756,0008,0020,0005,087.8024,021.8151,007.4576
154774158,-1839,0233,-0774,0005,0011,0008,089.5438,022.2173,006.7643
154779877,-1858,0222,-0766,0009,0010,0003,088.8569,022.7278,007.2848
154785530,-1850,0246,-0782,0010,0005,0002,089.5652,022.2088,006.7579
154791163,-1842,0228,-0758,0014,0009,0005,088.1587,022.7978,007.6699
154796851,-1835,0217,-0763,0014,0004,0002,089.0835,022.1387,006.9742
154802485,-1845,0241,-0796,0019,0007,0003,089.8620,022.4757,006.7115
154808150,-1851,0220,-0770,0018,0009,0002,088.7746,023.2492,007.5310
154813819,-1837,0238,-0769,0018,0011,0004,089.8340,022.3532,006.6882
154819552,-1840,0234,-0754,0018,0015,0009,088.3880,022.5775,007.4831
154825261,-1858,0247,-0772,0025,0017,0009,088.5557,022.0649,007.2138
154830970,-1846,0242,-0776,0026,0016,0010,088.0171,022.4316,007.6173
154836728,-1835,0240,-0766,0032,0025,0015,088.5297,022.6630,007.4469
