Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
577822878,-1800,0216,-0877,0028,0007,0001,090.4386,026.6904,006.7584
577828532,-1808,0206,-0858,0028,0005,0001,089.7856,025.7152,006.8476
577834197,-1788,0204,-0871,0028,-0001,0005,090.1977,025.1851,006.4546
577839887,-1775,0207,-0907,0030,-0004,0008,090.4659,025.9155,006.5139
577845510,-1781,0211,-0855,0034,0004,0009,090.7512,027.0412,006.6670
577851164,-1789,0209,-0874,0034,0000,0010,089.7182,025.3392,006.7624
577856758,-1791,0209,-0859,0032,-0001,0013,090.2331,025.9497,006.6501
577862487,-1783,0214,-0857,0032,-0003,0016,089.9308,025.4049,006.6569
577868228,-1775,0225,-0865,0030,-0002,0014,089.6182,025.5237,006.8684
577873921,-1801,0239,-0847,0024,0002,0013,089.0972,025.8343,007.2677
577879620,-1788,0233,-0874,0020,-0005,0013,087.9634,024.8820,007.5980
577885330,-1802,0201,-0857,0015,-0004,0008,088.9784,026.0016,007.3989
577890966,-1816,0224,-0873,0007,0001,0003,090.5832,025.2137,006.2448
577896598,-1809,0216,-0884,0006,0000,0000,089.2087,025.5371,007.1207
577901974,-1790,0203,-0880,0007,0004,-0003,089.9962,025.9050,006.7868
577907557,-1800,0195,-0865,0009,0006,0002,090.6857,026.0501,006.4330
577913134,-1810,0197,-0860,0009,0004,-0001,090.8971,025.4811,006.1542
577918710,-1812,0213,-0870,0020,0006,0001,090.6790,025.2633,006.2143
577924344,-1808,0219,-0877,0020,0007,0001,089.8458,025.5221,006.7585
577929983,-1794,0201,-0895,0023,0005,0005,089.6770,025.7358,006.9215
577935650,-1789,0206,-0886,0028,0002,0005,091.0686,026.4532,006.3204
577941301,-1778,0207,-0862,0029,0005,0003,090.4564,026.1660,006.5950
577946950,-1786,0205,-0894,0029,0004,0006,090.1164,025.6670,006.6422
577952615,-1770,0248,-0892,0030,0004,0007,090.7431,026.5460,006.5319
577958265,-1761,0233,-0865,0028,0007,0004,088.0365,026.5205,008.1573
577963940,-1776,0232,-0868,0027,0008,0007,088.8201,025.9165,007.4803
577969595,-1787,0232,-0847,0021,0001,0008,088.8592,025.8477,007.4372
577975271,-1788,0216,-0877,0022,0006,0009,088.5064,025.0989,007.3920
577980934,-1800,0230,-0893,0020,0002,0013,090.0536,026.0818,006.8198
577986619,-1761,0251,-0884,0021,-0001,0011,089.2429,026.2154,007.3401
577992295,-1777,0219,-0892,0018,-0003,0011,087.9519,026.4468,008.2018
577998059,-1775,0227,-0847,0023,0001,0009,090.2186,026.4862,006.8477
578003722,-1789,0237,-0877,0025,-0002,0007,088.7095,025.2234,007.3248
578009348,-1774,0215,-0886,0026,-0003,0006,088.7383,026.0048,007.5723
578015056,-1797,0224,-0906,0025,-0004,0007,090.2335,026.4189,006.8188
578020721,-1784,0217,-0885,0024,-0008,0002,089.7928,026.5936,007.1359
578026353,-1798,0215,-0884,0020,-0010,0006,089.9528,026.1669,006.9093
578032053,-1794,0204,-0859,0021,-0012,0005,090.0426,025.9954,006.8048
578037776,-1797,0207,-0850,0021,-0009,0009,090.3452,025.3612,006.4430
578043441,-1806,0215,-0892,0024,-0011,0012,089.9655,025.1383,006.5874
578049194,-1784,0228,-0859,0026,-0009,0014,090.1496,026.2630,006.8186
578054920,-1815,0213,-0880,0031,-0006,0014,088.7941,025.4326,007.3414
578060671,-1791,0216,-0883,0031,-0004,0015,090.2492,025.7476,006.6057
578066397,-1815,0233,-0878,0033,-0001,0017,089.9046,026.1270,006.9162
578072127,-1814,0232,-0894,0032,0002,0016,088.8243,025.5699,007.3652
578077843,-1804,0208,-0852,0029,0005,0014,089.2780,026.1133,007.2786
578083591,-1778,0219,-0855,0025,0008,0010,090.0722,025.0029,006.4816
578089268,-1807,0227,-0860,0019,0008,0012,089.3120,025.5738,007.0856
578094964,-1813,0225,-0870,0016,0011,0011,088.9788,025.2416,007.1711
578100737,-1791,0219,-0864,0011,0009,0016,089.3171,025.4976,007.0650
578106443,-1772,0222,-0876,0005,0010,0011,089.5634,025.6014,006.9616
578112180,-1782,0214,-0858,0010,0008,0012,089.5391,026.2005,007.1680
578117883,-1769,0205,-0836,0011,0010,0017,089.7607,025.4761,006.8155
578123648,-1795,0213,-0850,0015,0009,0012,089.9659,025.1178,006.5929
578129312,-1786,0225,-0852,0021,0008,0013,089.6531,025.1948,006.7910
578135029,-1784,0203,-0890,0019,0005,0014,088.9575,025.3459,007.2332
578140762,-1777,0218,-0858,0021,0002,0014,091.0446,026.5210,006.3793
578146523,-1778,0216,-0834,0021,-0002,0014,089.3268,025.4933,007.0686
578152243,-1782,0241,-0887,0017,0001,0013,089.2773,024.9155,006.9145
578158024,-1801,0212,-0877,0019,0000,0011,088.5844,026.4771,007.8360
578163627,-1786,0231,-0853,0015,-0003,0011,090.2851,025.7356,006.5979
578169360,-1799,0201,-0888,0014,-0002,0014,088.5076,025.2902,007.4739
578175069,-1776,0219,-0863,0007,-0002,0007,091.1911,026.2427,006.2240
578180694,-1795,0215,-0873,0006,-0005,0009,089.3801,025.6927,007.1119
578186307,-1808,0214,-0855,0002,-0002,0009,089.9782,025.7825,006.7997
578192019,-1803,0212,-0868,0006,-0003,0007,089.6954,025.0705,006.7452
578197596,-1789,0201,-0868,0009,-0003,0007,090.0657,025.6047,006.7026
578203163,-1775,0233,-0877,0010,0001,0007,090.7147,025.7548,006.3785
578208794,-1776,0212,-0855,0008,0000,0007,088.8080,026.1380,007.6119
578214294,-1784,0202,-0881,0012,0003,0008,089.9391,025.5095,006.7556
578220015,-1779,0223,-0880,0012,0003,0008,090.8988,026.2299,006.4165
578225664,-1789,0219,-0864,0015,0002,0006,089.4539,026.1304,007.2357
578231316,-1781,0221,-0895,0016,0003,0008,089.6353,025.5471,006.9477
578237010,-1790,0228,-0871,0015,0005,0010,089.9735,026.6441,007.0931
578242691,-1796,0225,-0876,0013,0006,0010,089.1256,025.6554,007.2813
578248380,-1800,0212,-0869,0015,0008,0007,089.5139,025.8493,007.1220
578254007,-1821,0221,-0846,0012,0010,0012,090.1603,025.5905,006.6724
578259752,-1811,0216,-0878,0014,0007,0007,089.1403,024.6510,006.9518
578265406,-1823,0216,-0869,0017,0005,0009,090.1045,025.8388,006.7829
578271099,-1811,0219,-0870,0021,0007,0008,089.8543,025.2739,006.7535
578276757,-1810,0233,-0876,0023,0005,0008,089.7134,025.5251,006.9112
578282424,-1802,0234,-0855,0027,0002,0010,088.9613,025.6553,007.3855
578288105,-1785,0242,-0845,0031,0001,0012,088.6358,025.1389,007.3993
578293813,-1799,0241,-0870,0033,0003,0009,088.0010,025.1302,007.7581
578299458,-1775,0231,-0870,0034,0006,0012,088.5821,025.6709,007.6124
578305166,-1774,0215,-0894,0034,0007,0013,089.1274,025.9553,007.3885
578310905,-1787,0214,-0863,0034,0009,0014,090.4304,026.6738,006.8375
578316625,-1783,0221,-0876,0032,0014,0016,089.8248,025.4875,006.8282
578322423,-1779,0210,-0883,0036,0011,0013,089.6640,026.0785,007.1029
578328205,-1801,0198,-0856,0037,0009,0020,090.4801,026.2671,006.6766
578333901,-1800,0219,-0861,0036,0006,0017,090.7085,025.1643,006.2228
578339609,-1779,0194,-0871,0037,0003,0018,089.3913,025.4330,007.0377
578345332,-1776,0202,-0840,0038,0000,0014,091.3012,026.0198,006.1144
578350982,-1791,0207,-0859,0042,-0002,0015,090.1117,025.0998,006.5172
578356696,-1763,0205,-0871,0039,-0005,0014,090.1795,025.5256,006.6015
578362434,-1778,0213,-0870,0038,-0007,0014,090.4635,026.2050,006.6340
578368172,-1783,0215,-0865,0032,-0003,0015,089.9041,025.8721,006.8565
578373861,-1789,0221,-0853,0028,-0004,0019,089.7654,025.6955,006.8801
578379545,-1788,0178,-0888,0025,-0004,0018,089.2080,025.2746,007.0644
578385266,-1782,0221,-0880,0021,0002,0016,092.5477,026.4490,005.4805
578391025,-1815,0226,-0853,0021,0004,0016,089.2199,026.0556,007.3106
578396749,-1807,0209,-0876,0019,0002,0015,088.9638,024.8706,007.0737
578402455,-1802,0229,-0855,0022,0000,0014,090.4458,025.8276,006.5333
